f1,convergence,popSize
26,-6824048.1303918,15
28,-101876131.08052,15
30,-21560365.874461,15
32,-24133230.685542,15
34,-16622835.354858,15
36,-47883370.737447,15
38,-41308216.674293,15
40,-170902970.48861,15
42,-91962569.492419,15
44,-18540637.68881,15
46,-83021584.633891,15
48,-79531138.25425,15
50,-47228560.001161,15
52,-6882609.6901838,15
54,-93920357.345314,15
56,-67047471.206521,15
58,-104577305.28088,15
60,-19388820.195338,15
62,-119665818.18039,15
64,-75853010.462534,15
66,-111894213.21659,15
68,-185420933.00535,15
70,-128219398.92482,15
72,-39617010.925229,15
74,-120102635.53599,15
76,-65285946.467904,15
78,-121535555.20796,15
80,-107667450.78535,15
82,-44416241.758149,15
84,-38817085.072572,15
86,-51140986.437642,15
88,-76284006.800175,15
90,-112069050.07211,15
92,-55920992.612413,15
94,-57977975.193714,15
96,-86045788.732198,15
98,-145914311.96439,15
100,-43741321.326935,15
f12,convergence,popSize
2,-34034571890.474,15
4,-34732085417.822,15
6,-35444412710.274,15
8,-30586029447.716,15
10,-37083228643.763,15
12,-34033118761.935,15
14,-38418968714.372,15
16,-30501084957.288,15
18,-32024582561.621,15
20,-35349945849.547,15
22,-32458434453.677,15
24,-34584115649.164,15
26,-34533165269.849,15
28,-32708878471.811,15
30,-29182446623.721,15
32,-34422195810.247,15
34,-34257057119.426,15
36,-31711636414.503,15
38,-29010821290.563,15
40,-33827896590.978,15
42,-32842311783.087,15
44,-33723331807.108,15
46,-31186458229.289,15
48,-32374831656.074,15
50,-33684091867.281,15
52,-30163382722.702,15
54,-31110369745.155,15
56,-33511573031.531,15
58,-33726539181.188,15
60,-32381942425.952,15
62,-31140598478.224,15
64,-29152793997.584,15
66,-34563973298.336,15
68,-33447815101.521,15
70,-31125935853.136,15
72,-30912780984.46,15
74,-34143313543.244,15
76,-33754841945.197,15
78,-33908056259.016,15
80,-34745552536.417,15
82,-34609394909.944,15
84,-34281500271.4,15
86,-32852694392.381,15
88,-31983434425.673,15
90,-30159047410.21,15
92,-29711067757.219,15
94,-35726015232.63,15
96,-36264302590.284,15
98,-31550434337.685,15
100,-33386308848.452,15
f13,convergence,popSize
2,-51766863580.687,15
4,-58311325723.786,15
6,-49350111680.081,15
8,-48941549659.853,15
10,-52980868914.309,15
12,-61138114142.236,15
14,-56354096969.093,15
16,-60249163972.703,15
18,-59303065156.512,15
20,-56273934529.917,15
22,-57543612848.713,15
24,-56614972561.002,15
26,-57506630290.655,15
28,-63647513856.259,15
30,-52075305425.532,15
32,-56391091981,15
34,-57830877488.266,15
36,-53666996203.248,15
38,-57822139346.493,15
40,-51033547608.778,15
42,-55082721575.695,15
44,-59203058683.947,15
46,-62772771119.815,15
48,-55961779699.984,15
50,-57346211636.79,15
52,-56092373782.105,15
54,-55017927995.605,15
56,-54967515892.011,15
58,-61263047743.537,15
60,-52456682954.209,15
62,-59739417471.349,15
64,-54389661714.616,15
66,-54000620251.125,15
68,-56636884499.64,15
70,-54882811416.715,15
72,-54885279210.99,15
74,-58934072936.94,15
76,-60355414047.745,15
78,-53797095109.832,15
80,-60350608649.732,15
82,-57665269769.914,15
84,-54641699091.701,15
86,-55763709386.192,15
88,-55725852222.411,15
90,-55161236270.507,15
92,-48444971916.177,15
94,-55599709968.594,15
96,-51471210440.843,15
98,-53836763896.399,15
100,-56186495658.989,15


ucp,seeds,15
1011.3040372526
1010.6103249885
1010.4121027732
1010.0729642155
1009.9025903067
1009.8902380346
1009.8859587261
1010.0108589961
1009.9562946547
1009.8827721806
1009.8700791433
1009.8666980278
1009.9178239153
1009.9379905303
1009.9820803251
1009.9856251713
1009.9961955437
1009.9993901321
1009.9544247512
1009.9815299402
1009.9980628011
1009.9517632116
1010.064605991
1010.0517250041
1010.1155877604
1010.093787369
1010.0676730051
1010.1211183425
1010.1081349874
1010.1332509261
